Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
BK800_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK802_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK820_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK821_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK832_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK836_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK85_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK860_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK862_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK863_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK868_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK876_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK882_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK884_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK891_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK894_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK900_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK911_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK912_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK914_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK950_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK954_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK957_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
